惯积岿,林具,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
01,林,8821,107,2421,9631,707
01,具,6088,90,1627,6510,427
02,林,8756,107,2468,9681,670
02,具,5755,96,1572,6286,483
03,林,10274,128,2787,11163,820
03,具,6326,81,1775,6859,524
04,林,11032,119,3105,11935,819
04,具,6371,93,1878,6887,518
05,林,11025,154,3010,12132,922
05,具,6353,101,1762,6779,520
06,林,11310,124,3286,12244,865
06,具,6265,103,1733,6593,569
07,林,11408,139,3132,12435,892
07,具,6586,115,1829,7024,558
08,林,10407,129,2878,11541,854
08,具,6011,118,1638,6365,506
09,林,10869,131,2959,11885,856
09,具,6143,115,1747,6299,506
10,林,11229,156,3064,12129,882
10,具,7071,156,1935,7732,565
11,林,11223,163,3124,11890,922
11,具,6873,122,1884,7284,602
12,林,10318,149,2658,10936,916
12,具,6616,120,1633,7063,517
